swanlab: Tracking run with swanlab version 0.5.5
swanlab: Run data will be saved locally in /home/moe_test/swanlog/run-20250409_214613-84cd768b
swanlab: 🌟 Run `swanlab watch /home/moe_test/swanlog` to view SwanLab Experiment Dashboard locally

--- Epoch 1/50 ---
Batch 700/2797, Loss: 0.5378, Train Acc: 80.75%
Batch 705/2797, Loss: 0.5374, Train Acc: 80.75%
Batch 710/2797, Loss: 0.5369, Train Acc: 80.77%
Batch 715/2797, Loss: 0.5362, Train Acc: 80.79%
Batch 720/2797, Loss: 0.5354, Train Acc: 80.82%
Batch 725/2797, Loss: 0.5345, Train Acc: 80.85%
Batch 730/2797, Loss: 0.5341, Train Acc: 80.87%
Batch 735/2797, Loss: 0.5336, Train Acc: 80.87%
Batch 740/2797, Loss: 0.5331, Train Acc: 80.90%
Batch 745/2797, Loss: 0.5327, Train Acc: 80.91%
Batch 750/2797, Loss: 0.5319, Train Acc: 80.93%
Batch 755/2797, Loss: 0.5313, Train Acc: 80.95%
Batch 760/2797, Loss: 0.5300, Train Acc: 81.00%
Batch 765/2797, Loss: 0.5295, Train Acc: 81.01%
Batch 770/2797, Loss: 0.5289, Train Acc: 81.03%
Batch 775/2797, Loss: 0.5287, Train Acc: 81.02%
Batch 780/2797, Loss: 0.5280, Train Acc: 81.05%
Batch 785/2797, Loss: 0.5270, Train Acc: 81.08%
Batch 790/2797, Loss: 0.5260, Train Acc: 81.12%
Batch 795/2797, Loss: 0.5251, Train Acc: 81.14%
Batch 800/2797, Loss: 0.5251, Train Acc: 81.15%
Batch 805/2797, Loss: 0.5246, Train Acc: 81.16%
Batch 810/2797, Loss: 0.5238, Train Acc: 81.20%
Batch 815/2797, Loss: 0.5230, Train Acc: 81.22%
Batch 820/2797, Loss: 0.5224, Train Acc: 81.25%
Batch 825/2797, Loss: 0.5218, Train Acc: 81.26%
Batch 830/2797, Loss: 0.5213, Train Acc: 81.27%
Batch 835/2797, Loss: 0.5207, Train Acc: 81.29%
Batch 840/2797, Loss: 0.5202, Train Acc: 81.31%
Batch 845/2797, Loss: 0.5202, Train Acc: 81.30%
Batch 850/2797, Loss: 0.5196, Train Acc: 81.32%
Batch 855/2797, Loss: 0.5191, Train Acc: 81.32%
Batch 860/2797, Loss: 0.5184, Train Acc: 81.35%
Batch 865/2797, Loss: 0.5179, Train Acc: 81.36%
Batch 870/2797, Loss: 0.5174, Train Acc: 81.37%
Batch 875/2797, Loss: 0.5168, Train Acc: 81.39%
Batch 880/2797, Loss: 0.5161, Train Acc: 81.41%
Batch 885/2797, Loss: 0.5157, Train Acc: 81.42%
Batch 890/2797, Loss: 0.5154, Train Acc: 81.43%
Batch 895/2797, Loss: 0.5151, Train Acc: 81.44%
Batch 900/2797, Loss: 0.5148, Train Acc: 81.45%
Batch 905/2797, Loss: 0.5142, Train Acc: 81.46%
Batch 910/2797, Loss: 0.5137, Train Acc: 81.47%
Batch 915/2797, Loss: 0.5132, Train Acc: 81.48%
Batch 920/2797, Loss: 0.5125, Train Acc: 81.50%
Batch 925/2797, Loss: 0.5119, Train Acc: 81.52%
Batch 930/2797, Loss: 0.5114, Train Acc: 81.54%
Batch 935/2797, Loss: 0.5112, Train Acc: 81.55%
Batch 940/2797, Loss: 0.5108, Train Acc: 81.56%
Batch 945/2797, Loss: 0.5106, Train Acc: 81.57%
Batch 950/2797, Loss: 0.5098, Train Acc: 81.60%
Batch 955/2797, Loss: 0.5093, Train Acc: 81.61%
Batch 960/2797, Loss: 0.5089, Train Acc: 81.62%
Batch 965/2797, Loss: 0.5085, Train Acc: 81.63%
Batch 970/2797, Loss: 0.5081, Train Acc: 81.64%
Batch 975/2797, Loss: 0.5076, Train Acc: 81.66%
Batch 980/2797, Loss: 0.5069, Train Acc: 81.68%
Batch 985/2797, Loss: 0.5063, Train Acc: 81.70%
Batch 990/2797, Loss: 0.5057, Train Acc: 81.72%
Batch 995/2797, Loss: 0.5053, Train Acc: 81.73%
Batch 1000/2797, Loss: 0.5047, Train Acc: 81.75%
Batch 1005/2797, Loss: 0.5043, Train Acc: 81.76%
Batch 1010/2797, Loss: 0.5038, Train Acc: 81.77%
Batch 1015/2797, Loss: 0.5034, Train Acc: 81.78%
Batch 1020/2797, Loss: 0.5029, Train Acc: 81.80%
Batch 1025/2797, Loss: 0.5023, Train Acc: 81.82%
Batch 1030/2797, Loss: 0.5020, Train Acc: 81.83%
Batch 1035/2797, Loss: 0.5016, Train Acc: 81.85%
Batch 1040/2797, Loss: 0.5011, Train Acc: 81.87%
Batch 1045/2797, Loss: 0.5005, Train Acc: 81.89%
