Batch 2340/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2345/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2350/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2355/2797, Loss: 0.2647, Train Acc: 90.13%
Batch 2360/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2365/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2370/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2375/2797, Loss: 0.2648, Train Acc: 90.13%
Batch 2380/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2385/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2390/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2395/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2400/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2405/2797, Loss: 0.2648, Train Acc: 90.14%
Batch 2410/2797, Loss: 0.2648, Train Acc: 90.14%
Batch 2415/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2420/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2425/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2430/2797, Loss: 0.2649, Train Acc: 90.14%
Batch 2435/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2440/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2445/2797, Loss: 0.2649, Train Acc: 90.14%
Batch 2450/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2455/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2460/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2465/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2470/2797, Loss: 0.2651, Train Acc: 90.12%
Batch 2475/2797, Loss: 0.2651, Train Acc: 90.13%
Batch 2480/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2485/2797, Loss: 0.2651, Train Acc: 90.12%
Batch 2490/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2495/2797, Loss: 0.2651, Train Acc: 90.13%
Batch 2500/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2505/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2510/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2515/2797, Loss: 0.2650, Train Acc: 90.13%
Batch 2520/2797, Loss: 0.2649, Train Acc: 90.13%
Batch 2525/2797, Loss: 0.2648, Train Acc: 90.14%
Batch 2530/2797, Loss: 0.2648, Train Acc: 90.14%
Batch 2535/2797, Loss: 0.2647, Train Acc: 90.14%
Batch 2540/2797, Loss: 0.2647, Train Acc: 90.14%
Batch 2545/2797, Loss: 0.2647, Train Acc: 90.14%
Batch 2550/2797, Loss: 0.2647, Train Acc: 90.14%
Batch 2555/2797, Loss: 0.2647, Train Acc: 90.15%
Batch 2560/2797, Loss: 0.2646, Train Acc: 90.15%
Batch 2565/2797, Loss: 0.2646, Train Acc: 90.15%
Batch 2570/2797, Loss: 0.2645, Train Acc: 90.15%
Batch 2575/2797, Loss: 0.2645, Train Acc: 90.15%
Batch 2580/2797, Loss: 0.2645, Train Acc: 90.15%
Batch 2585/2797, Loss: 0.2644, Train Acc: 90.15%
Batch 2590/2797, Loss: 0.2645, Train Acc: 90.15%
Batch 2595/2797, Loss: 0.2645, Train Acc: 90.16%
Batch 2600/2797, Loss: 0.2644, Train Acc: 90.16%
Batch 2605/2797, Loss: 0.2644, Train Acc: 90.16%
Batch 2610/2797, Loss: 0.2644, Train Acc: 90.16%
Batch 2615/2797, Loss: 0.2643, Train Acc: 90.16%
Batch 2620/2797, Loss: 0.2643, Train Acc: 90.15%
Batch 2625/2797, Loss: 0.2643, Train Acc: 90.16%
Batch 2630/2797, Loss: 0.2643, Train Acc: 90.16%
Batch 2635/2797, Loss: 0.2643, Train Acc: 90.15%
Batch 2640/2797, Loss: 0.2643, Train Acc: 90.15%
Batch 2645/2797, Loss: 0.2643, Train Acc: 90.15%
Batch 2650/2797, Loss: 0.2643, Train Acc: 90.15%
Batch 2655/2797, Loss: 0.2642, Train Acc: 90.16%
Batch 2660/2797, Loss: 0.2642, Train Acc: 90.16%
Batch 2665/2797, Loss: 0.2640, Train Acc: 90.16%
Batch 2670/2797, Loss: 0.2639, Train Acc: 90.17%
Batch 2675/2797, Loss: 0.2640, Train Acc: 90.17%
Batch 2680/2797, Loss: 0.2639, Train Acc: 90.17%
Batch 2685/2797, Loss: 0.2638, Train Acc: 90.17%
Batch 2690/2797, Loss: 0.2637, Train Acc: 90.18%
Batch 2695/2797, Loss: 0.2637, Train Acc: 90.18%
Batch 2700/2797, Loss: 0.2636, Train Acc: 90.18%
Batch 2705/2797, Loss: 0.2636, Train Acc: 90.18%
Batch 2710/2797, Loss: 0.2636, Train Acc: 90.18%
Batch 2715/2797, Loss: 0.2635, Train Acc: 90.18%
Batch 2720/2797, Loss: 0.2636, Train Acc: 90.18%
Batch 2725/2797, Loss: 0.2635, Train Acc: 90.18%
Batch 2730/2797, Loss: 0.2635, Train Acc: 90.18%
Batch 2735/2797, Loss: 0.2635, Train Acc: 90.18%
Batch 2740/2797, Loss: 0.2634, Train Acc: 90.18%
Batch 2745/2797, Loss: 0.2634, Train Acc: 90.18%
Batch 2750/2797, Loss: 0.2634, Train Acc: 90.18%
Batch 2755/2797, Loss: 0.2634, Train Acc: 90.18%
Batch 2760/2797, Loss: 0.2634, Train Acc: 90.18%
Batch 2765/2797, Loss: 0.2634, Train Acc: 90.18%
Batch 2770/2797, Loss: 0.2633, Train Acc: 90.19%
Batch 2775/2797, Loss: 0.2633, Train Acc: 90.19%
Batch 2780/2797, Loss: 0.2633, Train Acc: 90.18%
Batch 2785/2797, Loss: 0.2632, Train Acc: 90.19%
Batch 2790/2797, Loss: 0.2632, Train Acc: 90.19%
Batch 2795/2797, Loss: 0.2633, Train Acc: 90.19%
Learning Rate: 0.001600
Epoch 7/50, Average Loss: 0.2634, Train Accuracy: 90.19%
Validation Batch 5/700, Validation Accuracy: 90.94%
Validation Batch 10/700, Validation Accuracy: 90.08%
Validation Batch 15/700, Validation Accuracy: 89.01%
Validation Batch 20/700, Validation Accuracy: 88.87%
Validation Batch 25/700, Validation Accuracy: 88.72%
Validation Batch 30/700, Validation Accuracy: 88.49%
Validation Batch 35/700, Validation Accuracy: 88.48%
Validation Batch 40/700, Validation Accuracy: 88.46%
Validation Batch 45/700, Validation Accuracy: 88.49%
Validation Batch 50/700, Validation Accuracy: 88.53%
Validation Batch 55/700, Validation Accuracy: 88.54%
Validation Batch 60/700, Validation Accuracy: 88.54%
Validation Batch 65/700, Validation Accuracy: 88.45%
Validation Batch 70/700, Validation Accuracy: 88.45%
Validation Batch 75/700, Validation Accuracy: 88.39%
Validation Batch 80/700, Validation Accuracy: 88.27%
Validation Batch 85/700, Validation Accuracy: 88.20%
Validation Batch 90/700, Validation Accuracy: 88.20%
Validation Batch 95/700, Validation Accuracy: 88.28%
Validation Batch 100/700, Validation Accuracy: 88.24%
Validation Batch 105/700, Validation Accuracy: 88.22%
Validation Batch 110/700, Validation Accuracy: 88.19%
Validation Batch 115/700, Validation Accuracy: 88.19%
Validation Batch 120/700, Validation Accuracy: 88.24%
Validation Batch 125/700, Validation Accuracy: 88.24%
Validation Batch 130/700, Validation Accuracy: 88.19%
Validation Batch 135/700, Validation Accuracy: 88.17%
Validation Batch 140/700, Validation Accuracy: 88.16%
Validation Batch 145/700, Validation Accuracy: 88.18%
Validation Batch 150/700, Validation Accuracy: 88.30%
Validation Batch 155/700, Validation Accuracy: 88.34%
Validation Batch 160/700, Validation Accuracy: 88.32%
Validation Batch 165/700, Validation Accuracy: 88.29%
